Name,Authentic Player Name Search,Face Pic,Player ID,Club,Nationality,Birth Date,Age,Wage USD,Wage EUR,Wage GBP,Primary,Secondary,Tertiary,Overall
Tschernuth,Paul Tschernuth,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p262922.png,262922,1. FC Heidenheim,Austria,2002-01-20,22,3000,2700,2300,GK,,,59
Honsak,Mathias Honsak,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p232156.png,232156,1. FC Heidenheim,Austria,1996-12-20,27,17500,16000,13500,LM,CAM,LW,70
Scienza,Léo Scienza,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p269964.png,269964,1. FC Heidenheim,Brazil,1998-09-13,25,16500,15000,13000,LM,LW,ST,70
Kaufmann,Mikkel Kaufmann,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p245264.png,245264,1. FC Heidenheim,Denmark,2001-01-03,23,16500,15000,13000,ST,,,70
Janes,Luka Janeš,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p275907.png,275907,1. FC Heidenheim,Germany,2004-01-19,20,3200,2900,2500,CDM,,,59
Negele,Christopher Negele,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p269976.png,269976,1. FC Heidenheim,Germany,2005-04-11,19,2800,2500,2200,CAM,,,59
Feller,Frank Feller,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p266641.png,266641,1. FC Heidenheim,Germany,2004-01-07,20,2300,2100,1800,GK,,,59
Niehues,Julian Niehues,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p262754.png,262754,1. FC Heidenheim,Germany,2001-04-17,23,9700,8900,7600,CDM,CM,,68
Pieringer,Marvin Pieringer,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p260290.png,260290,1. FC Heidenheim,Germany,1999-10-04,24,21500,20000,17000,ST,,,72
Kerber,Luca Kerber,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p260369.png,260369,1. FC Heidenheim,Germany,2002-03-10,22,13000,11500,9900,CM,CDM,,69
Siersleben,Tim Siersleben,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p258812.png,258812,1. FC Heidenheim,Germany,2000-03-09,24,15500,14500,12000,CB,,,71
Traoré,Omar Haktab Traoré,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p257136.png,257136,1. FC Heidenheim,Germany,1998-02-04,26,23500,21500,18000,RB,,,73
Schöppner,Jan Schöppner,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p256292.png,256292,1. FC Heidenheim,Germany,1999-06-12,25,22000,20500,17500,CDM,CM,,73
Beck,Adrian Beck,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p253133.png,253133,1. FC Heidenheim,Germany,1997-06-09,27,17500,16000,13500,CM,CAM,,70
Keller,Thomas Keller,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p251289.png,251289,1. FC Heidenheim,Germany,1999-08-05,24,7100,6500,5500,CB,CDM,,66
Conteh,Sirlord Conteh,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p251002.png,251002,1. FC Heidenheim,Germany,1996-07-20,27,11500,10500,8900,ST,RM,,67
Breunig,Maximilian Breunig,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p243537.png,243537,1. FC Heidenheim,Germany,2000-08-14,23,8600,7900,6700,ST,,,66
Schimmer,Stefan Schimmer,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p239078.png,239078,1. FC Heidenheim,Germany,1994-04-28,30,13500,12500,10500,ST,,,68
Dorsch,Niklas Dorsch,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p231227.png,231227,1. FC Heidenheim,Germany,1998-01-15,26,27500,25000,21500,CDM,CM,,75
Föhrenbach,Jonas Föhrenbach,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p229277.png,229277,1. FC Heidenheim,Germany,1996-01-26,28,21500,20000,17000,LB,,,72
Gimber,Benedikt Gimber,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p228883.png,228883,1. FC Heidenheim,Germany,1997-02-19,27,23500,21500,18000,CB,CDM,,73
Busch,Marnon Busch,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p224980.png,224980,1. FC Heidenheim,Germany,1994-12-08,29,21500,20000,17000,RB,,,72
Mainka,Patrick Mainka,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/heads/p216199.png,216199,1. FC Heidenheim,Germany,1994-11-06,29,30000,27500,23500,CB,,,76
