League ID,League,Club,Club Logo Small,Club Logo Big,Overall,ATT,MID,DEF,Country,Scout Region,Dom. Prestige,Int'l Prestige,League Rep,Int'l Comp,Youth Scouting Region
1,Premier League,Arsenal,https://i.imgur.com/X1HJW7i.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l1.png,83,83,85,84,England,8,9,8,8,3,Britain
1,Premier League,Aston Villa,https://i.imgur.com/lQg9eZq.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l2.png,80,85,79,80,England,8,6,5,8,3,Britain
1,Premier League,Bournemouth,https://i.imgur.com/5BeBvnz.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l1943.png,76,79,76,76,England,8,3,2,8,,Britain
1,Premier League,Brentford,https://i.imgur.com/LQe5jmf.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l1925.png,76,75,76,76,England,8,4,3,8,,Britain
1,Premier League,Brighton & Hove Albion,https://i.imgur.com/20Dd8sM.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l1808.png,77,76,77,76,England,8,5,3,8,,Britain
1,Premier League,Chelsea,https://i.imgur.com/1wymYhN.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l5.png,80,79,81,79,England,8,9,9,8,1,Britain
1,Premier League,Crystal Palace,https://i.imgur.com/TaNeA7M.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l1799.png,78,78,78,78,England,8,4,3,8,,Britain
1,Premier League,Everton,https://i.imgur.com/yuA4uKa.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l7.png,76,77,74,76,England,8,7,6,8,,Britain
1,Premier League,Fulham,https://i.imgur.com/DJUIK9E.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l144.png,76,75,76,77,England,8,4,3,8,,Britain
1,Premier League,Ipswich Town,https://i.imgur.com/CC80RhS.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l94.png,74,71,74,74,England,8,3,2,8,,Britain
1,Premier League,Leicester City,https://i.imgur.com/Zkk2i25.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l95.png,76,76,75,76,England,8,6,5,8,,Britain
1,Premier League,Liverpool,https://i.imgur.com/rHNx57v.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l9.png,84,84,81,84,England,8,9,9,8,3,Britain
1,Premier League,Manchester City,https://i.imgur.com/b7hSijj.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l10.png,86,85,87,83,England,8,10,9,8,3,Britain
1,Premier League,Manchester United,https://i.imgur.com/rTgIjiy.png,https://cmtracker.fra1.cdn.digitaloceanspaces.com/DB/25/crest/dark/l11.png,81,79,80,82,England,8,9,9,8,2,Britain
